Titre;Artiste;Label;Time;Event;Annee_Sortie;Longueur;Genre;Distributeur;Nombre_Pistes;Reedition
JEFE;NINHO;REC. 118 / MAL LUNE MUSIC;51;0;2021;00:51:03;Rap français;Warner music france;15;0
CIVILISATION;ORELSAN;3EME BUREAU;51;0;2021;00:57:43;Rap français;Wagram;15;0
DAWN FM;THE WEEKND;ISLAND DEF JAM / UNIVERSAL MUSIC;51;0;2022;01:20:00;Synthpop;Universal music france;24;0
NONANTE-CINQ;ANGELE;ROMANCE MUSIQUE / ANGELE VL RECORDS;42;1;2021;00:43:18;Pop;Universal music france;12;0
INDEPENDANCE;JUL;BELIEVE / D'OR ET DE PLATINE;51;0;2021;01:18:00;Rap français;Believe;23;0
30;ADELE;COLUMBIA;51;0;2021;00:58:15;Pop;Sony music entertainment;12;0
ARRÊTEZ-LE ! VOL.2;1PLIKE140;CAPITOL MUSIC FRANCE / MILLENIUM;40;1;2022;00:45:28;Rap français;Universal music france;14;0
=;ED SHEERAN;WEA / EAST WEST UK;51;0;2021;00:48:30;Pop;Warner music france;14;0
MESDAMES;GRAND CORPS MALADE;VIRGIN RECORDS FRANCE / ANOUCHE PRODUCTIONS;26;1;2020;00:51:26;Variété française;Universal music france;14;1
LE MONDE EST MECHANT;NISKA;CAPITOL MUSIC FRANCE / MILLENIUM;51;0;2021;00:49:00;Rap français;Universal music france;18;0
LE CLASSICO ORGANISE;LE CLASSICO ORGANISE;BELIEVE / RIEN SANS RIEN;51;0;2021;03:40:54;Rap français;Believe;30;0
TOY: BOX COFFRET 3CD;DAVID BOWIE;CATALOGUE MARKETING CLASSIQUE / PARLOPHONE;5;1;2022;02:39:00;Rock;Warner music france;38;0
DEUX FRERES;PNL;QLF RECORDS;13;1;2019;01:37:49;Rap français;Believe;22;0
ENNA;PLK;PANENKA;51;0;2020;01:30:00;Rap français;Wagram;29;1
CHASSEUR D'ETOILES;SOPRANO;REC118 / REC. 118;51;0;2021;00:56:14;Pop;Warner music france;16;0
COEUR;CLARA LUCIANI;ROMANCE MUSIQUE;4;1;2021;00:37:17;Pop;Universal music france;11;0
AKIMBO;ZIAK;CAPITOL MUSIC FRANCE / MILLENIUM;51;0;2021;00:51:53;Rap français;Universal music france;19;0
FLEUR FROIDE;TAYC;PLAY TWO;51;0;2020;02:18:00;R&B;Warner music france;42;1
VERSUS;VITAA & SLIMANE;CAPITOL MUSIC FRANCE / INDIFFERENCE PROD / CAPITOL;33;1;2019;02:25:00;R&B;Universal music france;40;1
DESTIN;NINHO;REC. 118 / MAL LUNE MUSIC;11;1;2019;00:56:51;Rap français;Warner music france;18;0
REELLE VIE 3.0;MAES;CAPITOL MUSIC FRANCE / MILLENIUM;49;1;2021;00:45:24;Rap français;Universal music france;15;0
DS4EVER;GUNNA;WEA / 300 ENTERTAINMENT;6;1;2022;00:58:07;Hip-hop;;20;0
QALF;DAMSO;TRENTE-QUATRE CENTIMES;13;1;2020;01:22:28;Pop-rap;Universal music france;25;1
LES ETOILES VAGABONDES : EXPANSION;NEKFEU;POLYDOR / SEINE ZOO;22;1;2019;02:04:00;Rap français;Universal music france;34;0
BRÃ›LER LE FEU;JULIETTE ARMANET;ROMANCE MUSIQUE;44;1;2021;00:45:00;Pop;Universal music france;13;0
PERSONA NON GRATA;LACRIM;CAPITOL MUSIC FRANCE / PLATA O PLOMO RECORDS;47;1;2021;00:55:03;Rap français;Universal music france;17;0
POISON OU ANTIDOTE;DADJU;CAPITOL MUSIC FRANCE / AMATERASU PROD / CAPITOL;45;1;2019;02:40:00;R&B;Universal music france;44;1
AFTER HOURS;THE WEEKND;ISLAND DEF JAM / UNIVERSAL MUSIC;8;1;2020;01:08:00;Electro;Universal music france;18;0
JVLIVS II;SCH;REC118 / REC. 118;51;0;2021;00:54:47;Rap français;Warner music france;21;0
ERRR;LA FEVE;ADA FRANCE / WALONE / ADA FRANCE;50;1;2021;00:39:00;Rap français;;18;0
SPLEEN;DJADJA & DINAZ;BELIEVE / CARRE MUSIC / ALLPOINTS;51;0;2021;01:03:00;Rap français;Believe;21;0
MUSIC OF THE SPHERES;COLDPLAY;WEA / PARLOPHONE;51;0;2021;00:41:50;Pop;Warner music france;12;0
AIMEE;JULIEN DORE;COLUMBIA;51;0;2020;00:38:08;Pop;Sony music entertainment;11;0
M.I.L.S. 3;NINHO;REC. 118 / MAL LUNE MUSIC;51;0;2020;01:17:00;Rap français;Warner music france;23;1
L'ETRANGE HISTOIRE DE MR.ANDERSON;LAYLOW;SONY MUSIC ENTERTAINMENT / DIGITALMUNDO;51;0;2021;00:51:05;Rap français;Sony music entertainment;20;0
N'ATTENDONS PAS;VIANNEY;BELIEVE / TOT OU TARD;51;0;2020;01:03:00;Pop;Believe;18;1
MERCURY - ACT 1;IMAGINE DRAGONS;POLYDOR / INTERSCOPE RECORDS;26;1;2021;00:45:05;Rock alternatif;Universal music france;14;0
RESSOURCES;AMIR;PARLOPHONE;51;0;2020;01:20:00;Variété française;Warner music france;24;1
!;MENACE SANTANA;ADA FRANCE / FAKE DREAM MUSIC/ADA FRANCE;22;1;2021;00:29:54;Rap français;Warner music france;12;0
CARTEL : VOLUME 1 & 2;KOBA LAD;CAPITOL MUSIC FRANCE / MILLENIUM;9;1;2021;00:41:33;Rap français;Universal music france;14;1
FUTURE NOSTALGIA;DUA LIPA;WEA / WARNER RECORDS;51;0;2020;01:01:00;Dance-pop;Warner music france;19;1
VOYAGE;ABBA;POLYDOR / UNIVERSAL MUSIC;11;1;2021;00:37:05;Pop;Universal music france;10;0
MONTERO;LIL NAS X;SONY MUSIC ENTERTAINMENT / COLUMBIA;50;1;2021;00:41:17;Pop-rap;;15;0
THE HIGHLIGHTS;THE WEEKND;ISLAND DEF JAM / UNIVERSAL MUSIC;51;0;2021;01:17:55;R&B alternatif;Universal music france;18;0
MI VIDA;KENDJI GIRAC;ISLAND DEF JAM;51;0;2020;01:00:00;Pop latino;Universal music france;17;1
ES;IMEN ES;ISLAND DEF JAM / BENDO / FULGU PROD;29;1;2021;00:51:14;Pop urbaine;Universal music france;16;0
OCHO;SDM;CAPITOL MUSIC FRANCE / CAPITOL;51;0;2021;01:23:00;Rap français;Universal music france;26;1
BEST LIFE;NAPS;BELIEVE / OK MANY INDUSTRIE / 13EME ART MUSIC;46;1;2021;00:56:23;Rap français;Believe;21;0
SOUS UN SOLEIL ENORME;BERNARD LAVILLIERS;ROMANCE MUSIQUE;13;1;2021;00:40:33;Variété français;Universal music france;11;0
NO CRARI;OBOY;BELIEVE / SYNDICATE RECORDS / 6&7;50;1;2021;00:37:28;Rap français;Believe;14;0
DEMAIN CA IRA;JUL;BELIEVE / D'OR ET DE PLATINE;51;0;2021;01:02:00;Rap français;Believe;19;0
COUNTRY ROCK;EDDY MITCHELL;POLYDOR;8;1;2021;00:46:09;Ballade Country;Universal music france;12;0
LE FLEAU;MAÎTRE GIMS;PLAY TWO;12;1;2020;01:43:00;Hip-hop;Sony music entertainment;32;1
ENCANTO: LA FANTASTIQUE FAMILLE MADRIGAL;LIN-MANUEL MIRANDA;MCA / WALT DISNEY RECORDS;11;1;2021;01:54:00;Comédie musicale;Universal music france;44;0
PLANET HER (DELUXE);DOJA CAT;ARISTA / KEMOSABE RECORDS/RCA RECORDS;50;1;2021;00:59:28;Rap;Sony music entertainment;19;0
DRÔLE DE MENTALITE;DJADJA & DINAZ;BELIEVE / CARRE MUSIC / ALLPOINTS;11;1;2019;01:38:00;Rap français;Believe;30;1
COCO JOJO;GUY2BEZBAR;BLUE MAGIC CORP;45;1;2021;00:59:58;Hip-hop;Sony music entertainment;20;0
LES MAINS FAITES POUR L'OR;NAPS;BELIEVE / OK MANY INDUSTRIE / 13EME ART MUSIC;49;1;2021;01:18:00;Rap français;Believe;27;0
GRAND MONSIEUR;ROHFF;ISLAND DEF JAM / BENDO / LEGEND ALIVE PRODUCTION;12;1;2021;01:28:00;Pop urbaine;Universal music france;26;0
SERIES;CAMILLE ET JULIE BERTHOLLET;CATALOGUE MARKETING CLASSIQUE / WARNER CLASSICS;5;1;2021;01:08:00;Inspiration classique;Warner music france;23;0
TROBADOR TOUR;FRANCIS CABREL;COLUMBIA;33;1;2021;02:25:00;Variété française;Sony music entertainment;31;0
PLANET;SOFIANE PAMART;PIAS FRANCE / [PIAS] RECORDIN;22;1;2019;01:02:00;Musique classique;Pias france;20;1
HAPPINESS;EVA;MCA / ALDAM PRODUCTION;18;1;2021;00:31:30;R&B;Universal music france;11;0
JOHNNY ACTE II;JOHNNY HALLYDAY;LABEL PANTHEON / FONTANA;11;1;2021;00:53:13;Musique pop;Universal music france;13;0
HAPPIER THAN EVER;BILLIE EILISH;POLYDOR / INTERSCOPE RECORDS;51;0;2021;00:56:07;Pop;Universal music france;16;0
WHEN WE ALL FALL ASLEEP WHERE DO WE GO?;BILLIE EILISH;POLYDOR / INTERSCOPE RECORDS;12;1;2019;00:42:48;Pop;Universal music france;14;0
AU CLAIR DE LA RUE;BENAB;ISLAND DEF JAM / BENDO / DRACARYS MUSIC;47;1;2021;01:24:00;Rap français;Universal music france;27;1
TRINITY;LAYLOW;DIGITALMUNDO;51;0;2021;00:55:50;Rap français;Sony music entertainment;22;0
LES DERNIERS SALOPARDS;MAES;CAPITOL MUSIC FRANCE / MILLENIUM;51;0;2020;00:52:43;Rap français;Universal music france;17;1
L'AVENIR;FLORENT PAGNY;CAPITOL MUSIC FRANCE / CAPITOL;27;1;2021;00:38:04;Variété française;Universal music france;10;0
17%;LETO;REC. 118 / WINTERFELL;2;1;2021;00:50:44;Rap français;Warner music france;17;0
VAGUE A L'ÂME;HATIK;PLAY TWO;43;1;2021;02:18:00;Pop;Warner music france;40;1
3 JOURS A MOTORBASS;LOMEPAL;IDOL / PINEALE PROD - GRAND MUSIQUE MANAGEMENT;3;1;2019;00:52:27;Rap français;Pias france;15;0
DRILL FR;GAZO;BSB PROD;51;0;2021;00:49:52;Rap français;Sony music entertainment;15;0
SACRE;GEORGIO;PANENKA;22;1;2021;01:40:00;Rap français;Wagram;30;1
STAMINA MEMENTO;DINOS;CAPITOL MUSIC FRANCE / SPKTAQLR;50;1;2020;01:23:00;Rap français;Universal music france;26;1
ETOILE NOIRE;LUV RESVAL;AWA DISTRIB / AWA;51;0;2021;01:04:00;Rap français;Sony music entertainment;19;0
SURVIE;ZOLA;AWA;51;0;2020;00:49:07;Rap français;Sony music entertainment;19;0
PARADIS;BEN MAZUE;COLUMBIA;51;0;2020;00:53:04;Variété française;Sony music entertainment;17;1
KARMA;GLK;PLAY TWO;11;1;2021;00:54:44;Rap français;Warner music france;19;0
FRANCE;PASCAL OBISPO;KURONEKO MEDIA / ATLETICO;8;1;2021;00:47:03;Variété française;Kuroneko;12;0
JOIE DE VIVRE;LOUANE;ISLAND DEF JAM;18;1;2020;01:03:00;Pop;Universal music france;21;1
THE LOCKDOWN SESSIONS;ELTON JOHN;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC;36;1;2021;01:12:00;Pop rock;Universal music france;18;0
ARES;TIMAL;CAPITOL MUSIC FRANCE / ARGENTIC MUSIC;51;0;2021;00:54:09;Rap français;Universal music france;18;0
SOUR;OLIVIA RODRIGO;POLYDOR;51;0;2021;00:34:46;Pop;Universal music france;11;0
VIVANTE;AMEL BENT;CAPITOL MUSIC FRANCE / CAPITOL;48;1;2021;00:40:49;R&B;Universal music france;13;0
MON NOM EST JOHNNY;JOHNNY HALLYDAY;PARLOPHONE;7;1;2021;01:11:00;Rock;Warner music france;16;0
SHOOT FOR THE STARS AIM FOR THE MOON;POP SMOKE;ISLAND DEF JAM / UNIVERSAL MUSIC;51;0;2020;01:41:44;Drill;Universal music france;34;0
